stationcode,sampledate,evaluator,channeltype,bottom,bottomcomments,rightsideofstructure,rightsidecomments,leftsideofstructure,leftsidecomments,masterid,smc_lu,latitude,longitude,huc,class_do,class_do_f
405BH3Bxx,1950-01-01T08:00:00Z,NA,Engineered,Soft,NA,Soft,NA,Hard,NA,405BH3Bxx,Open,34.23009,-117.7754,405,Soft bottom-1 hard side,2
405BH3Cxx,1950-01-01T08:00:00Z,NA,Natural,NA,NA,NA,NA,NA,NA,405BH3Cxx,Open,34.22979,-117.7796,405,Natural,0
405CE0280,2022-07-27T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,405CE0280,Open,34.23041,-117.74981,405,Natural,0
405M10596,2015-04-27T07:00:00Z,SM/BJ,Engineered,Hard,NA,Hard,NA,Hard,NA,405M10596,Urban,33.81024,-118.12821,405,Hard bottom,4
405M10598,2021-06-17T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,405M10598,Urban,34.06991,-117.77146,405,Hard bottom,4
405M10599,2021-07-15T07:00:00Z,S. Johnson,Engineered,Hard,,Hard,,Hard,,405M10599,Urban,33.95045,-118.04896,405,Hard bottom,4
405M10600,2022-07-28T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,405M10600,Urban,33.85293,-118.10127,405,Hard bottom,4
405M10604,2022-06-08T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,405M10604,Urban,33.87801,-118.03327,405,Hard bottom,4
405M10605,2022-07-14T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,405M10605,Urban,34.00863,-117.9406,405,Hard bottom,4
405M10606,2022-07-28T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,405M10606,SMC_out,33.94447,-118.04359,405,Hard bottom,4
405M10607,2022-07-25T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,405M10607,Open,34.27398,-117.74959,405,Natural,0
405M10609,2022-06-14T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,405M10609,SMC_out,34.13367,-117.76821,405,Natural,0
405PS0011,2020-06-08T07:00:00Z,W. Willis,Engineered,Hard,,Hard,,Hard,,405PS0011,Urban,33.88054,-117.89743,845,Hard bottom,4
405PS0030,2021-07-22T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,405PS0030,Open,34.23487,-117.80523,405,Natural,0
405PS0036,2016-07-11T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Hard,NA,Soft,NA,405PS0036,Open,34.24118,-117.93426,405,Soft bottom-1 hard side,2
SGUR010,2010-06-18T07:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,405SGB010,Open,34.19498,-117.86114,405,Natural,0
407M01516,2015-06-24T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,407M01516,Urban,34.25539,-119.25498,407,Hard bottom,4
408ACCR3x,1950-01-01T08:00:00Z,B.Jones. K.Hahs,Engineered,Soft,NA,Hard,mostly earthen looks like an area of grouted rock,Soft,NA,408ACCR3x,Open,34.22722,-118.93194,408,Soft bottom-1 hard side,2
SMC00036,2015-06-15T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Soft,NA,Soft,NA,408BA0036,Urban,34.21502,-118.87899,408,Soft bottom-0 hard sides,1
SMC00660,2020-06-17T07:00:00Z,S. Johnson,Engineered,Soft,,Hard,,Hard,,408BA0660,Agricultural,34.26784,-118.93781,408,Soft bottom-2 hard sides,3
SMC00836,2019-07-25T07:00:00Z,A. Wallengren,Engineered,Soft,,Soft,,Soft,,408BA0836,Agricultural,34.19071,-119.00511,408,Soft bottom-0 hard sides,1
408BH5Axx,1950-01-01T08:00:00Z,NA,Engineered,Soft,NA,Hard,NA,Soft,NA,408BH5Axx,Urban,34.28327,-118.81091,408,Soft bottom-1 hard side,2
408BH5Bxx,1950-01-01T08:00:00Z,NA,Engineered,Soft,NA,Hard,NA,Soft,NA,408BH5Bxx,Urban,34.28236,-118.81168,408,Soft bottom-1 hard side,2
408BH5Cxx,1950-01-01T08:00:00Z,NA,Engineered,Soft,NA,Hard,NA,Hard,NA,408BH5Cxx,Urban,34.28098,-118.81234,408,Soft bottom-2 hard sides,3
408BH6Axx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Soft,NA,Soft,NA,408BH6Axx,Agricultural,34.2037,-119.00141,408,Soft bottom-0 hard sides,1
408BH6Bxx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Hard,NA,Soft,NA,408BH6Bxx,Agricultural,34.20294,-119.00204,408,Soft bottom-1 hard side,2
408BH6Cxx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Soft,NA,Soft,NA,408BH6Cxx,Agricultural,34.2008,-119.00101,408,Soft bottom-0 hard sides,1
408CAL003,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Soft,NA,Soft,NA,408CAL003,Agricultural,34.14722,-119.11837,408,Soft bottom-0 hard sides,1
408CAL004,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,408CAL004,Agricultural,34.1127,-119.08265,408,Natural,0
408CAL006,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Soft,NA,408CAL006,Agricultural,34.16443,-119.06255,408,Soft bottom-1 hard side,2
408CAL007,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Soft,NA,Soft,NA,408CAL007,Agricultural,34.19437,-119.00077,408,Soft bottom-0 hard sides,1
408CAL008,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,408CAL008,Agricultural,34.27387,-118.85857,408,Natural,0
408CAL012,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Hard,NA,408CAL012,Urban,34.27242,-118.78131,408,Soft bottom-2 hard sides,3
408CAL013,1950-01-01T08:00:00Z,K.Hahs,Engineered,Hard,NA,Hard,NA,Hard,NA,408CAL013,Urban,34.27133,-118.74003,408,Hard bottom,4
408CALBWC,1950-01-01T08:00:00Z,K.Hahs,Engineered,Hard,NA,Hard,NA,Hard,NA,408CALBWC,Agricultural,34.22848,-119.11343,408,Hard bottom,4
408CGCS06,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Hard,NA,408CGCS06,Agricultural,34.17978,-119.04053,408,Soft bottom-2 hard sides,3
408CGCS12,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,408CGCS12,Agricultural,34.19114,-119.00464,408,Natural,0
408WE0654,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Soft,NA,408CGCS13,Agricultural,34.16522,-119.09069,408,Soft bottom-1 hard side,2
408M03005,2015-06-15T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,408M03005,Urban,34.27001,-118.74203,408,Hard bottom,4
408M03015,2015-06-15T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,408M03015,Urban,34.20947,-118.88115,408,Hard bottom,4
408M03019,2015-07-14T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Soft,NA,Soft,NA,408M03019,Agricultural,34.26742,-118.94037,408,Soft bottom-0 hard sides,1
408M03020,2016-07-12T07:00:00Z,Karin WIsenbaker,Engineered,Soft,NA,Hard,NA,Hard,NA,408M03020,Agricultural,34.16846,-119.05726,408,Soft bottom-2 hard sides,3
408M03027,2016-06-29T07:00:00Z,Karin WIsenbaker,Natural,NA,NA,NA,NA,NA,NA,408M03027,Open,34.22489,-118.92975,408,Natural,0
408M03036,2016-06-20T07:00:00Z,Brianna Jones,Engineered,Soft,NA,Soft,NA,Soft,NA,408M03036,Agricultural,34.17991,-119.07852,408,Soft bottom-0 hard sides,1
408M03038,2017-04-27T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Hard,NA,Hard,NA,408M03038,Urban,34.27491,-118.88512,408,Soft bottom-2 hard sides,3
408M03047,2017-05-30T07:00:00Z,Wendy Willis,Engineered,Soft,NA,Hard,NA,Hard,vegetated,408M03047,Agricultural,34.17338,-119.0517,408,Soft bottom-2 hard sides,3
408M03051,2019-06-17T07:00:00Z,A. Wallengren,Engineered,Soft,,Soft,,Soft,,408M03051,Agricultural,34.26839,-118.9476,408,Soft bottom-0 hard sides,1
SMC08068,2013-06-10T07:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,408M03052,Agricultural,34.1802,-119.10372,408,Hard bottom,4
408M03096,2022-06-20T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Soft,,408M03096,SMC_out,34.13894,-119.13162,408,Soft bottom-0 hard sides,1
408M03100,2019-05-09T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Soft,,408M03100,Agricultural,34.1812,-119.0871,408,Soft bottom-0 hard sides,1
408M03111,2019-07-25T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,408M03111,Agricultural,34.18105,-119.03278,408,Natural,0
408M03115,2018-06-19T07:00:00Z,Alexis Wallengren,Natural,NA,,NA,,NA,,408M03115,Agricultural,34.26752,-118.94539,408,Natural,0
408M03116,2018-08-21T07:00:00Z,Karin Wisenbaker,Engineered,Hard,,Hard,,Hard,,408M03116,Agricultural,34.17233,-119.09741,408,Hard bottom,4
408M03119,2018-06-28T07:00:00Z,Brianna Jones,Engineered,Soft,,Soft,Vegetated,Hard,,408M03119,Urban,34.2277,-118.97224,408,Soft bottom-1 hard side,2
408M03143,2020-06-17T07:00:00Z,S. Johnson,Engineered,Soft,,Soft,,Soft,,408M03143,Urban,34.16891,-118.95714,408,Soft bottom-0 hard sides,1
408M03152,2022-06-20T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Soft,,408M03152,SMC_out,34.1551,-119.07426,408,Soft bottom-0 hard sides,1
408M03155,2020-06-17T07:00:00Z,S. Johnson,Engineered,Soft,,Hard,,Soft,,408M03155,Urban,34.22695,-118.97622,408,Soft bottom-1 hard side,2
408M03166,2021-07-07T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,408M03166,Urban,34.28501,-118.86104,408,Natural,0
408M03175,2020-06-25T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Soft,,408M03175,Agricultural,34.19165,-119.00424,408,Soft bottom-0 hard sides,1
408M03182,2021-07-07T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,408M03182,Urban,34.29028,-118.83916,408,Natural,0
408PS0032,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Soft,NA,408PS0032,Agricultural,34.1688,-119.05743,408,Soft bottom-1 hard side,2
408WE1039,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Soft,NA,408WE1039,Agricultural,34.14743,-119.087,408,Soft bottom-1 hard side,2
410M01628,2018-06-28T07:00:00Z,Brianna Jones,Engineered,Hard,,Hard,,Hard,,410M01628,Urban,34.1625,-119.16675,410,Hard bottom,4
412ARSNPD,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,concrete wall downstream of A,NA,NA,412ARSNPD,Open,34.2222,-118.1776,412,Natural,0
412BH1Axx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Soft,NA,Soft,NA,412BH1Axx,Agricultural,34.27392,-118.31529,412,Soft bottom-0 hard sides,1
412BH1Bxx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Soft,NA,Hard,NA,412BH1Bxx,Agricultural,34.27241,-118.31836,412,Soft bottom-1 hard side,2
412BH1Cxx,1950-01-01T08:00:00Z,R. Mazor,Natural,NA,NA,NA,NA,NA,NA,412BH1Cxx,Agricultural,34.27276,-118.3222,412,Natural,0
412BH4Axx,1950-01-01T08:00:00Z,R. Mazor,Natural,NA,NA,NA,NA,NA,NA,412BH4Axx,Urban,34.20695,-118.16815,412,Natural,0
412BH4Bxx,1950-01-01T08:00:00Z,R. Mazor,Engineered,Soft,NA,Soft,NA,Hard,NA,412BH4Bxx,Urban,34.20653,-118.16651,412,Soft bottom-1 hard side,2
412BH4Cxx,1950-01-01T08:00:00Z,R. Mazor,Natural,NA,NA,NA,NA,NA,NA,412BH4Cxx,Urban,34.20503,-118.16632,412,Natural,0
412CE0104,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412CE0104,Urban,34.06911,-118.22324,412,Hard bottom,4
412CE0232,2021-06-15T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412CE0232,Urban,34.15907,-118.45624,412,Hard bottom,4
412CE0616,2015-07-16T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412CE0616,Urban,34.15397,-118.42994,412,Hard bottom,4
412CE0732,2015-09-02T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412CE0732,Urban,34.15513,-118.31261,412,Hard bottom,4
412LAR003,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR003,Urban,34.20105,-118.30268,412,Hard bottom,4
412LAR004,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR004,Urban,34.26825,-118.60806,412,Hard bottom,4
412LAR008,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,412LAR008,Urban,34.26316,-118.55704,412,Natural,0
412LAR009,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,412LAR009,Open,34.2273,-118.31987,412,Natural,0
412LAR013,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,412LAR013,Open,34.29719,-118.24705,412,Natural,0
412LAR015,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR015,Urban,34.09369,-118.02886,412,Hard bottom,4
412LAR018,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,412LAR018,Urban,34.24375,-118.22177,412,Natural,0
412LAR019,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR019,Urban,34.15691,-118.3035,412,Hard bottom,4
412LAR020,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR020,Urban,34.25773,-118.59616,412,Hard bottom,4
412LAR023,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR023,Urban,33.86185,-118.19653,412,Hard bottom,4
412LAR024,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR024,SMC_out,34.24862,-118.5428,412,Hard bottom,4
412LAR025,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR025,Urban,34.25182,-118.29597,412,Hard bottom,4
412LAR031,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LAR031,Urban,33.99525,-118.10604,412,Hard bottom,4
412LARBBK,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LARBBK,SMC_out,34.1599,-118.3042,412,Hard bottom,4
412LARSCO,1950-01-01T08:00:00Z,B.Jones,Engineered,Hard,NA,Hard,NA,Hard,NA,412LARSCO,Urban,34.0827,-118.2215,412,Hard bottom,4
412M08597,2015-07-16T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08597,Urban,34.15524,-118.43907,412,Hard bottom,4
412M08599,2015-09-30T07:00:00Z,Wendy Willis,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08599,Urban,34.10602,-118.24338,412,Hard bottom,4
412M08602,2015-09-30T07:00:00Z,Wendy Willis,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08602,Urban,33.97131,-118.16996,412,Hard bottom,4
412M08608,2016-06-02T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,412M08608,Urban,34.18543,-118.49768,412,Natural,0
412M08610,2016-07-14T07:00:00Z,Brianna Jones,Natural,NA,NA,NA,NA,NA,NA,412M08610,Open,34.20112,-118.01825,412,Natural,0
412M08615,2016-07-06T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08615,Urban,34.14392,-118.34294,412,Hard bottom,4
412M08616,2016-06-02T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08616,Urban,34.18855,-118.61028,412,Hard bottom,4
412M08622,2016-06-21T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,412M08622,Open,34.19378,-118.10274,412,Natural,0
412M08627,2017-05-17T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08627,Urban,33.86326,-118.19655,412,Hard bottom,4
412M08630,2017-05-17T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08630,Urban,34.05961,-118.08902,412,Hard bottom,4
412M08632,2017-05-17T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,412M08632,Urban,34.23834,-118.6077,412,Hard bottom,4
412M08638,2017-08-16T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,412M08638,Open,34.20922,-118.17119,412,Natural,0
412M08640,2018-05-30T07:00:00Z,Karin Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08640,Urban,34.22095,-118.54618,412,Hard bottom,4
412M08641,2019-07-09T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412M08641,Open,34.30548,-118.06798,412,Natural,0
412M08642,2018-06-20T07:00:00Z,Brianna Jones,Engineered,Hard,,Hard,,Hard,,412M08642,Urban,34.0472,-118.22979,412,Hard bottom,4
412M08643,2018-05-23T07:00:00Z,Brianna Jones,Engineered,Hard,,Hard,,Hard,,412M08643,Urban,33.8084,-118.20559,412,Hard bottom,4
412M08645,2019-07-15T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412M08645,Urban,34.28922,-118.50195,412,Natural,0
412M08646,2019-07-16T07:00:00Z,A. Wallengren,Engineered,Hard,,Hard,,Hard,,412M08646,Urban,34.1289,-118.08133,412,Hard bottom,4
412M08647,2019-07-16T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,412M08647,Open,34.27872,-118.30172,412,Natural,0
412M08655,2020-07-28T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412M08655,Open,34.27576,-118.21685,412,Natural,0
412M08656,2020-07-14T07:00:00Z,W. Willis,Engineered,Hard,,Hard,,Hard,,412M08656,Urban,34.14554,-118.39651,412,Hard bottom,4
412M08658,2020-07-20T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08658,Urban,34.08329,-118.2206,412,Hard bottom,4
412M08659,2020-07-20T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08659,Urban,33.93942,-118.17479,412,Hard bottom,4
412M08661,2021-06-07T07:00:00Z,S. Johnson,Engineered,Hard,,Hard,,Hard,,412M08661,Urban,34.16288,-118.46936,412,Hard bottom,4
412M08662,2021-05-22T07:00:00Z,S. Johnson,Engineered,Hard,,Hard,,Hard,,412M08662,Urban,34.06891,-118.05717,412,Hard bottom,4
412M08663,2021-05-22T07:00:00Z,S. Johnson,Engineered,Soft,,Soft,,Hard,,412M08663,Urban,34.11082,-118.26183,412,Soft bottom-1 hard side,2
412M08672,2021-06-07T07:00:00Z,S. Johnson,Engineered,Hard,,Hard,,Hard,,412M08672,Urban,34.18653,-118.52911,412,Hard bottom,4
412M08683,2022-06-28T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412M08683,Urban,34.26675,-118.37323,412,Natural,0
412M08686,2022-06-01T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08686,Urban,34.16604,-118.17047,412,Hard bottom,4
412M08688,2022-07-19T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08688,Urban,34.18934,-118.53444,412,Hard bottom,4
412M08693,2022-07-19T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412M08693,Urban,34.22513,-118.49801,412,Hard bottom,4
412PS0020,2022-06-01T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412PS0020,Urban,34.07077,-118.09545,412,Hard bottom,4
412PS0040,2022-06-01T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412PS0040,Urban,34.26065,-118.48935,412,Hard bottom,4
412PS0052,2022-07-19T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,412PS0052,Urban,34.1953,-118.58796,412,Hard bottom,4
SMC04204,2019-07-30T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,412S04204,Open,34.20358,-118.01853,412,Natural,0
412WE0552,2022-07-11T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412WE0552,Open,34.23908,-118.18059,412,Natural,0
412WE0563,1950-01-01T08:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,412WE0563,Open,34.34716,-118.04869,412,Natural,0
412WE0896,2022-06-28T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,412WE0896,Open,34.28771,-118.23008,412,Natural,0
801AHG857,2013-07-10T07:00:00Z,Damon Owen,Engineered,Soft,NA,Soft,NA,Hard,NA,801AHG857,SMC_out,34.018101,-117.369003,801,Soft bottom-1 hard side,2
SMCR8_530,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801BNC530,Open,34.17834,-116.90881,801,Natural,0
SMCR8_184,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801BRC184,Open,34.16546,-117.01553,801,Natural,0
SMCR8_012,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801CBN012,Open,33.91909,-117.82201,801,Natural,0
SMCR8_027,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801CJW027,Open,34.3061,-117.4697,801,Natural,0
SMCR8_041,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801CJW041,Open,34.29543,-117.45882,801,Natural,0
SMCR8_114,1950-01-01T08:00:00Z,A. Suter,Engineered,Soft,NA,Soft,NA,Hard,NA,801CYC114,Urban,34.13646,-117.1897,801,Soft bottom-1 hard side,2
SMCR8_121,1950-01-01T08:00:00Z,A. Suter,Engineered,Soft,NA,Soft,NA,Soft,NA,801CYC121,Urban,34.12372,-117.19213,801,Soft bottom-0 hard sides,1
SMCR8_398,1950-01-01T08:00:00Z,A. Suter,Engineered,Soft,NA,Soft,NA,Hard,NA,801CYC398,Urban,34.13646,-117.18965,801,Soft bottom-1 hard side,2
SMCR8_025,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801DRC025,Open,34.1739,-116.9839,801,Natural,0
SMCR8_126,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801EBC126,Open,34.17413,-116.89426,801,Natural,0
SMCR8_686,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801EBC686,Open,34.16918,-116.89195,801,Natural,0
SMCR8_226,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801ETC226,Open,34.19146,-117.27421,801,Natural,0
SMCR8_022,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801FGC022,Open,34.16055,-116.86775,801,Natural,0
SMCR8_050,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801HBC050,Open,34.15651,-116.79441,801,Natural,0
SMCR8_203,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801HNC203,Open,34.18658,-116.91801,801,Natural,0
SMCR8_713,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801ICE713,Open,34.24908,-117.63127,801,Natural,0
SMCR8_028,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801LYC028,Open,34.2026,-117.44583,801,Natural,0
SMCR8_062,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,Dirt berm confining low flows of natural creek,801LYC062,Open,34.21257,-117.45844,801,Natural,0
SMCR8_271,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801LYC271,Open,34.22931,-117.47362,801,Natural,0
SMCR8_600,1950-01-01T08:00:00Z,A. Suter,Natural,NA,NA,NA,NA,NA,NA,801LYC600,Open,34.23092,-117.48291,801,Natural,0
801M12611,2015-07-01T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Hard,NA,Hard,NA,801M12611,Urban,33.80456,-117.86822,801,Soft bottom-2 hard sides,3
801M12617,2015-04-30T07:00:00Z,Marty Lewis,Engineered,Hard,NA,Hard,NA,Hard,NA,801M12617,Urban,33.65489,-117.77451,801,Hard bottom,4
801M12625,2015-07-01T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,801M12625,Urban,33.69499,-117.93471,801,Hard bottom,4
801M12641,2016-05-19T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,801M12641,Urban,33.69422,-117.88292,801,Hard bottom,4
801M12644,2016-04-28T07:00:00Z,Karin Wisenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,801M12644,Urban,33.89118,-117.76561,801,Hard bottom,4
SMC14211,2013-06-04T07:00:00Z,B.Jones,Engineered,Soft,NA,Hard,NA,Hard,NA,801M12649,Urban,33.6894,-117.82174,801,Soft bottom-2 hard sides,3
801M12652,2017-05-18T07:00:00Z,Karin Wisenbaker,Engineered,Hard,Rock and concrete,Hard,Rock and concrete,Hard,Rock and concrete,801M12652,Urban,33.71785,-117.997,801,Hard bottom,4
801M12665,2017-05-18T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,801M12665,Urban,33.64903,-117.69704,801,Natural,0
801M12669,2017-06-29T07:00:00Z,Wendy Willis,Engineered,Soft,NA,Hard,NA,Hard,NA,801M12669,Urban,33.69499,-117.85583,801,Soft bottom-2 hard sides,3
801M12675,2019-04-23T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Soft,,801M12675,Urban,33.81308,-117.85819,801,Soft bottom-0 hard sides,1
801M12678,2019-04-25T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,801M12678,Agricultural,33.79594,-117.70467,801,Natural,0
801M12684,2019-06-04T07:00:00Z,A. Wallengren,Engineered,Soft,,Hard,,Hard,,801M12684,Urban,33.75073,-118.04144,801,Soft bottom-2 hard sides,3
801M12687,2020-05-08T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Hard,,Hard,,801M12687,SMC_out,33.71727,-117.89068,801,Soft bottom-2 hard sides,3
801M12688,2020-05-08T07:00:00Z,K. Wisenbaker,Engineered,Hard,,Hard,,Hard,,801M12688,SMC_out,33.69863,-117.96738,801,Hard bottom,4
801M12691,2020-05-18T07:00:00Z,W. Willis,Natural,NA,,NA,,NA,,801M12691,Open,33.71856,-117.64834,801,Natural,0
